# dcut planecut  dE[eV]  Strainx100  icrit  rc[A]  yc[A]  nbatminx yboxlen[A] dErlx2[eV] ycrlx[A] rcut2[A] nu50Krlx2[/s] nu300Krlx2[/s] nu1000Krlx2[/s] {lognu50Krlx2} {lognu300Krlx2} {lognu1000Krlx2}
0.75 22 0.905000 111 15 6.8347 -59.54543706170000 7 73.0635879149 1.5 6 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.75 24 0.851000 111 15 6.8474 -61.73207105730000 5 73.0587433112 1.5 6 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.75 26 0.849000 111 14 6.8329 -61.73009882240000 5 73.0556841448 1.5 6 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.75 28 0.855000 111 13 6.5255 -62.83083462110000 4 73.0547535795 1.5 4 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.75 30 0.817000 111 14 12.423 -70.63133725579999 1 73.0548376550 1.5 2 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.75 32 0.841000 111 14 12.422 -70.63133533660000 1 73.0550034087 0.841000 2 12.422 2.770212172174362e-71 1.211785268114197e+00 9.400553758138569e+09 -7.055748696679269e+01 8.342566839850177e-02 9.973153437325269e+00
0.75 34 0.842000 111 14 12.422 -70.63195315790000 1 73.0553227517 0.842000 2 12.422 2.212936281984750e-71 1.174567212127037e+00 9.361924370319304e+09 -7.065503109071838e+01 6.987787340882200e-02 9.971365128386632e+00
 
0.85 0 0.791000 111 15 11.957 -2.45202397790000000000 1 73.0554423345 0.791000 2 11.957 2.087945841640416e-66 5.765213804842753e+00 1.154965161338801e+10 -6.568028077050778e+01 7.608154178825175e-01 1.006256888425716e+01
0.85 2 0.795000 111 14 11.957 -2.45240848500000000000 1 73.0551355374 0.795000 2 11.957 8.502423513769319e-67 5.088903762754216e+00 1.136097615972749e+10 -6.607045726621057e+01 7.066242379237968e-01 1.005541564850261e+01
0.85 4 0.884000 111 14 6.5171 -10.24393168680000000000 4 73.0547782950 0.884000 4 6.5171 1.770580612212486e-75 3.168622369308350e-01 7.875101372432903e+09 -7.475188429559772e+01 -4.991295161577522e-01 9.896256152963844e+00
0.85 6 0.879000 111 14 6.5172 -10.24391106310000000000 4 73.0546404775 1.5 4 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.85 8 0.879000 111 14 6.5173 -10.24404424600000000000 4 73.0545329048 1.5 4 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
